pond_id,week_index,culture_type,age_days,avg_weight_g,shrimp_count,biomass_kg,temperature_c,ph,salinity_ppt,do_mg_l,do_min_mg_l,nh3_mg_l,tan_mg_l,seaweed_biomass_kg,feed_input_kg,feeding_rate_actual,shrimp_seaweed_ratio,buffer_index,oxygen_stress,thermal_stress,weekly_growth_g
P01,0,IMTA,22.0,4.5,82162.0,378.0471,29.62369,7.41,31.6,6.493431,5.96622,0.026028,0.365012,46.6864,117.954858,0.312629,7.73168,11756.181535,0,0,0.612799
P01,1,IMTA,26.0,4.847903,78162.0,378.0471,29.383235,7.410204,31.6,6.090281,5.725754,0.011344,0.113285,48.78736,111.445971,0.295216,7.416326,25721.410644,0,0,0.615346
P01,2,IMTA,25.0,5.003504,78719.0,393.0488,28.913977,7.410204,31.6,6.644748,6.173555,0.061389,0.205112,50.988078,123.002051,0.3136,7.400722,5366.202849,0,0,0.646155
P01,3,IMTA,26.0,4.911306,84022.0,411.9643,29.815419,7.508618,31.6,6.253486,5.532312,0.060989,0.042418,53.290569,96.945275,0.235141,7.445184,5312.286101,0,0,0.614853
P01,4,IMTA,27.0,5.321191,81134.0,431.0653,29.254004,7.704422,30.883549,6.575575,6.5,0.052099,0.368705,55.69584,63.071569,0.145173,7.476223,6928.581096,0,0,0.633996
P01,5,IMTA,28.0,5.286935,81090.0,428.0444,30.87681,7.446084,30.589709,5.666594,5.464981,0.06079,0.137938,58.2049,118.98694,0.278314,7.115886,5282.803882,0,0,0.642211
P01,6,IMTA,29.0,5.487172,73082.0,400.1058,30.301625,7.410204,31.246186,5.991925,5.875377,0.047904,0.194033,60.819764,93.105042,0.232459,6.365854,7538.816623,0,0,0.658561
P01,7,IMTA,30.0,5.830908,75329.0,438.4749,29.04109,7.463512,30.293536,5.53149,5.460706,0.063786,0.501655,63.540432,132.306959,0.302362,6.702987,5357.085518,0,0,0.698243
P01,8,IMTA,31.0,5.260356,73566.0,386.054,28.310191,7.444034,30.822916,6.010299,5.240546,0.054097,0.108693,66.365896,114.903091,0.298109,5.639368,7263.014247,0,0,0.648948
P01,9,IMTA,32.0,5.845555,76595.0,447.0363,29.980665,7.478889,31.6,6.053532,5.880721,0.047304,0.167682,69.297163,72.135894,0.160425,6.286329,8799.822469,0,0,0.639007
P01,10,IMTA,33.0,6.094903,85556.0,521.2001,28.731782,7.410204,31.226363,5.561753,4.862213,0.046405,0.052698,72.331211,125.560521,0.240976,7.056192,8629.064378,0,0,0.798394
P01,11,IMTA,34.0,6.048889,86418.0,522.4985,30.241247,7.410204,29.972877,6.272941,6.030344,0.01,0.242941,75.46804,88.241825,0.168171,6.78811,45769.110817,0,0,0.659218
P01,12,IMTA,35.0,5.951749,70808.0,420.5053,27.248799,7.410204,31.468899,6.921441,6.369134,0.026227,0.092723,78.704627,91.258213,0.216647,5.213173,20647.169939,0,0,0.672528
P01,13,IMTA,36.0,5.951652,70957.0,421.3879,30.849269,7.410204,31.6,6.323741,5.870033,0.021033,0.164988,82.038956,145.870593,0.347256,5.015665,24518.595555,0,0,0.715332
P01,14,IMTA,37.0,6.7804,71937.0,487.0046,31.0,7.499392,31.422257,6.280507,5.358108,0.037715,0.375592,85.46599,94.649627,0.19386,5.591766,14207.349359,0,0,0.679429
P01,15,IMTA,38.0,6.680679,76209.0,508.5741,27.688398,7.728,31.6,6.079472,5.701173,0.02353,0.324089,88.981697,173.824741,0.342932,5.619015,22880.299682,0,0,0.730038
P01,16,IMTA,39.0,6.42111,81567.0,523.4077,29.413954,7.527071,31.6,6.196202,5.487425,0.063287,0.085138,92.583055,160.637144,0.307696,5.56557,8924.632092,0,0,0.768489
P01,17,IMTA,40.0,6.714429,88368.0,593.4365,27.747717,7.479914,31.158733,6.015703,5.193522,0.030722,0.364213,96.263009,151.370648,0.255376,6.092589,18823.689239,0,0,0.751071
P01,18,IMTA,41.0,6.978568,85597.0,597.3809,28.094099,7.48914,31.6,7.0,5.998282,0.045207,0.470214,100.015515,96.96246,0.161636,5.906875,15622.158023,0,0,0.728395
P01,19,IMTA,42.0,6.652633,87233.0,580.3448,28.710597,7.410204,31.389608,5.697938,5.369864,0.059991,0.183153,103.835535,110.947621,0.190788,5.525174,9782.672575,0,0,0.710238
P01,20,IMTA,43.0,7.35001,72915.0,535.31,28.077151,7.756704,31.6,5.650382,5.27154,0.03262,0.107595,107.715006,93.20916,0.173485,4.902344,18673.962318,0,0,0.75789
P01,21,IMTA,44.0,7.368921,77857.0,573.4121,29.456325,7.410204,31.335971,6.041643,5.46605,0.062288,0.058887,111.644859,140.233062,0.244728,5.077978,10730.520432,0,0,0.78073
P01,22,IMTA,45.0,7.123915,80432.0,572.7771,28.614203,7.523995,31.437416,7.0,6.045307,0.037715,0.168481,115.619049,179.255047,0.31386,4.898405,21502.402443,0,0,0.79708
P01,23,IMTA,46.0,7.507349,85482.0,641.9488,30.335522,7.410204,31.6,6.352923,6.204549,0.059191,0.406035,119.628507,161.162788,0.251353,5.324696,12733.927646,0,0,0.836762
P01,24,IMTA,47.0,7.270931,74670.0,542.3976,31.0,7.410204,31.337137,6.232951,5.634911,0.041211,0.091426,123.664164,117.089567,0.215697,4.328776,18678.928678,0,0,0.824849
P01,25,IMTA,48.0,7.89931,86859.0,686.5576,29.560134,7.410204,31.266009,6.719325,6.023932,0.050601,0.216591,127.717958,210.654183,0.307746,5.34524,16836.407312,0,0,0.840048
P01,26,IMTA,49.0,8.377459,71949.0,602.2282,29.743388,7.410204,31.6,5.647139,4.900687,0.056994,0.331475,131.778806,94.658724,0.156452,4.525571,13035.433512,0,0,0.802913
P01,27,IMTA,50.0,7.871324,81744.0,643.5052,29.55166,7.410204,31.134247,6.810115,6.096606,0.028125,0.427195,135.838647,172.272069,0.268186,4.700982,32577.542048,0,0,0.843581
P01,28,IMTA,51.0,8.31908,88495.0,736.8912,31.0,7.569102,29.858605,6.288073,5.762091,0.055795,0.362616,139.888411,120.725608,0.163307,5.248757,15696.200882,0,0,0.933791
P01,29,IMTA,52.0,8.258491,77274.0,638.0177,30.175572,7.604982,31.095768,6.508563,5.660561,0.029424,0.447357,143.918022,109.960017,0.171824,4.396592,31536.045527,0,0,0.901913
P01,30,IMTA,53.0,8.760738,77516.0,679.0725,31.0,7.410204,31.417593,6.797145,6.5,0.046106,0.467619,147.920426,196.125184,0.289542,4.561688,21655.475374,0,0,0.931573
P01,31,IMTA,54.0,8.232033,86400.0,711.7606,30.441449,7.77,31.359291,5.290464,4.284025,0.044108,0.254819,151.88454,167.174334,0.235071,4.662853,18295.591017,0,0,0.764791
P01,32,IMTA,55.0,8.712274,72174.0,628.3424,30.277262,7.555775,31.6,5.545541,5.378414,0.074774,0.362217,155.803309,99.521941,0.157703,3.994316,11489.938593,0,0,0.923685
P01,33,IMTA,56.0,9.014991,70175.0,632.0513,30.406493,7.410204,31.377948,6.241597,5.475669,0.010744,0.435479,159.668672,167.865758,0.266034,3.920273,87473.598003,0,0,0.880634
P01,34,IMTA,57.0,8.73573,70863.0,618.4815,27.52527,7.410204,31.018809,6.480461,6.066681,0.074774,0.380782,163.472568,102.401864,0.164948,3.742329,14023.036225,0,0,0.981771
P01,35,IMTA,58.0,8.707085,89464.0,779.8906,31.0,7.48914,30.904538,5.900054,5.875377,0.064586,0.103503,167.208952,117.587918,0.150157,4.651251,15227.975285,0,0,0.954906
P01,36,IMTA,59.0,9.137278,85583.0,782.7464,30.328107,7.45531,30.189759,6.558281,6.245161,0.044507,0.13195,170.869761,202.351031,0.258999,4.567862,25077.632641,0,0,1.020386
P01,37,IMTA,60.0,9.808196,78063.0,765.9183,31.0,7.422506,30.443954,6.617727,6.217373,0.048503,0.362317,174.450966,125.801104,0.163757,4.373706,23710.782762,0,0,1.023508
P01,38,IMTA,62.0,9.155539,81710.0,748.5204,29.876856,7.639837,30.898708,6.301043,5.805909,0.025228,0.196728,177.94652,110.005505,0.146274,4.185959,43900.718088,0,0,1.014963
P01,39,IMTA,63.0,9.83687,85649.0,843.5096,31.0,7.644963,30.814753,6.307528,5.934158,0.03312,0.320096,181.351385,193.289739,0.229367,4.646471,34348.643977,0,0,1.040186
P01,40,IMTA,64.0,9.477204,76291.0,723.0514,31.0,7.509643,31.6,6.196202,5.507731,0.071778,0.244039,184.661531,175.17322,0.242547,3.889244,15857.03981,0,0,1.069845
P01,41,IMTA,65.0,9.314758,70358.0,654.8459,30.601399,7.641887,31.6,6.032997,5.386963,0.067183,0.097914,187.873934,208.041127,0.318714,3.446901,16816.556473,0,0,1.106077
P01,42,IMTA,66.0,9.551044,83675.0,799.9028,30.929774,7.410204,30.426464,4.875424,4.561897,0.03272,0.493271,190.986579,176.064792,0.22021,4.173601,28743.977754,0,0,1.061958
P01,43,IMTA,67.0,10.414193,86671.0,903.8978,29.524118,7.596781,31.6,6.445875,6.16073,0.052299,0.453745,193.995436,152.594792,0.168461,4.661448,23845.010012,0,0,1.135243
P01,44,IMTA,68.0,9.803935,70951.0,695.1913,29.013549,7.698271,31.6,6.268618,5.26299,0.080368,0.08404,196.901512,139.217154,0.200075,3.496909,15254.198037,0,0,1.012005
P01,45,IMTA,69.0,10.38055,85165.0,885.1739,31.0,7.410204,30.940685,5.42773,5.198865,0.061389,0.315106,199.701784,190.882896,0.215747,4.429739,17717.273445,0,0,1.126205
P01,46,IMTA,70.0,10.139688,86893.0,882.2793,30.597162,7.534247,31.6,6.284831,5.129397,0.054796,0.282766,202.396253,214.528786,0.243527,4.355131,23182.23201,0,0,1.093096
P01,47,IMTA,71.0,10.722339,88421.0,949.6542,28.374807,7.464537,31.6,6.178909,5.922402,0.01,0.152411,204.985925,193.086557,0.203327,4.639062,119884.114739,0,0,1.07231
P01,48,IMTA,72.0,10.097645,87943.0,889.3149,29.5506,7.515794,30.860229,6.239436,6.202411,0.068681,0.287557,207.469794,302.162723,0.341121,4.282068,18779.37259,0,0,1.121851
P01,49,IMTA,73.0,11.2999,75771.0,856.5525,28.112107,7.584479,31.6,5.64822,5.420094,0.086562,0.361718,209.849874,253.042311,0.296317,4.071254,13641.009232,0,0,1.075349
P01,50,IMTA,74.0,11.287995,85773.0,969.6898,27.281637,7.410204,31.201877,5.931398,5.172147,0.040712,0.26989,212.127174,247.176327,0.255436,4.578432,30895.452959,0,0,1.136722
P01,51,IMTA,75.0,10.886233,85378.0,930.755,30.422382,7.59268,31.6,5.42773,4.761751,0.064885,0.085537,214.303708,272.893455,0.294096,4.343317,18009.427374,0,0,1.192671
P01,52,IMTA,76.0,11.113653,78010.0,867.5365,29.993377,7.410204,31.6,5.965985,5.456432,0.010245,0.264301,216.381492,242.138232,0.279845,3.998648,118402.814418,0,0,1.142555
P01,53,IMTA,77.0,11.492583,73780.0,848.0686,27.0,7.721849,31.6,5.981117,5.928814,0.07867,0.180059,218.361533,178.542395,0.210553,3.869424,16544.535954,0,0,1.138858
P01,54,IMTA,78.0,11.514139,81846.0,943.4869,30.649067,7.77,31.6,6.01138,5.555824,0.063886,0.325985,220.247863,311.147191,0.331053,4.284027,20727.065449,0,0,1.273679
P01,55,IMTA,79.0,11.169475,78386.0,876.1457,29.398065,7.731075,30.713308,6.410207,5.803772,0.035317,0.233459,222.041488,259.184257,0.296728,3.934877,40110.347459,0,0,1.181991
P01,56,IMTA,80.0,11.545073,82998.0,959.4589,29.15761,7.462486,30.279544,5.457993,4.809845,0.055096,0.277476,223.74644,181.867093,0.189427,4.289786,22308.455165,0,0,1.256262
P01,57,IMTA,81.0,11.74289,83416.0,980.9011,30.14803,7.77,31.6,6.324821,5.874308,0.087361,0.213197,225.364733,174.453492,0.177618,4.356963,16208.601322,0,0,1.212636
