pond_id,week_index,culture_type,age_days,avg_weight_g,shrimp_count,biomass_kg,temperature_c,ph,salinity_ppt,do_mg_l,do_min_mg_l,nh3_mg_l,tan_mg_l,seaweed_biomass_kg,feed_input_kg,feeding_rate_actual,shrimp_seaweed_ratio,buffer_index,oxygen_stress,thermal_stress,weekly_growth_g
P01,0,IMTA,22,4.5,82223,370.003,29.372,7.41,31.396,6.427,5.907,0.0262,0.3684,50.0,116.108,0.3138,7.40007,11822.895,0,0,0.2573
P01,1,IMTA,23,4.7327052507519705,78180,370.003,29.145,7.41,31.6,6.054,5.682,0.0115,0.1162,52.085,109.669,0.2964,7.10381,25216.285,0,0,0.2445
P01,2,IMTA,24,4.885788567076299,78743,384.722,28.702,7.41,31.234,6.567,6.101,0.0616,0.2082,54.269,121.101,0.31477,7.08915,5694.569,0,0,0.3052
P01,3,IMTA,25,4.795082195910675,84103,403.281,29.553,7.506,31.391,6.205,5.501,0.0612,0.0452,56.554,95.324,0.23637,7.13092,5642.86,0,0,0.249
P01,4,IMTA,26,5.198336808799981,81184,422.022,29.023,7.697,30.319,6.503,6.498,0.0523,0.3721,58.941,61.814,0.14647,7.16008,7192.972,0,0,0.2787
P01,5,IMTA,27,5.164634922769179,81140,419.058,30.555,7.445,30.067,5.662,5.438,0.061,0.1409,61.431,117.129,0.27951,6.82156,5614.585,0,0,0.3003
P01,6,IMTA,28,5.361632794007486,73046,391.646,30.012,7.41,30.63,5.963,5.822,0.0481,0.1971,64.026,91.525,0.23369,6.11694,7778.22,0,0,0.3295
P01,7,IMTA,29,5.699807074446516,75317,429.292,28.822,7.462,29.813,5.537,5.434,0.064,0.5053,66.726,130.306,0.30354,6.43366,5685.825,0,0,0.4077
P01,8,IMTA,30,5.138485536402887,73535,377.859,28.132,7.443,30.267,5.98,5.228,0.0543,0.1116,69.53,113.089,0.29929,5.43444,7513.711,0,0,0.3149
P01,9,IMTA,31,5.714217764787377,76597,437.692,29.709,7.477,31.6,6.02,5.827,0.0475,0.1707,72.439,70.781,0.16171,6.04223,8987.591,0,0,0.2845
